Group,Item,Spec / why,Qty,"Indicative USD (LINE TOTAL, not unit)",Source,Link,Search term if the link dies,Status,Provenance
Flight controller,NAVCORE-SoOP PCB + assembly,"6-layer 1.6mm ENIG 1oz, 45.1x46.1mm. ECONOMIC assembly: 5 bare PCBs, 2 assembled. DNP on the assembly order (pads provisioned, no part): the 9V VTX buck block U18 + L5 + C60-C64/C68-C70/C73, the VTX switch Q3/R15/R40-R43/R45, and PV1 (see docs/PRE-ORDER.md). U6/U7 no longer exist - deleted from the design 2026-09-09. Was quoted 270 for Standard; Economic is ~190",1 order,190,JLCPCB,https://jlcpcb.com/,see fab/ORDER.md,TO BUY,"MEASURED - 45.10x46.10, 30.50 hole pitch, 2.3/4.4mm part heights - from the KiCad file"
Airframe,TBS Source One V5 7in DC,"OPEN SOURCE HARDWARE - the reason for choosing it. The frame's own DXF/DWG are published at github.com/tbs-trappy/source_one (So1-V6-7inDC-2025-JUL-07.dxf), so every dimension is answerable in CAD BEFORE ordering instead of with calipers afterwards. The 30.5x30.5 and 20x20 stack patterns were parsed directly out of that DXF, independently of the retailer. 320mm wheelbase, arms 6mm, plates top 2.0 / middle 2.0 / bottom 2.5 / camera 2.0mm, standoffs 30mm and 22mm, 143.5g. Replaces the Mark4, whose three reseller spec tables disagreed and whose manufacturer pages 404. Repo also publishes printable skate, camera, GoPro, antenna and SMA mounts - all fit an Ultimaker 2+. NO LANDING LEGS: the published skate is a 6mm flat wear plate, not a 25mm leg.",1,36,HobbyRC UK,https://www.hobbyrc.co.uk/tbs-source-one-v5-7-dc-frame,TBS Source One V5 7 inch DC frame,TO BUY,"[D] manufacturer DXF for the stack patterns, parsed 2026-09-02; [L] hobbyrc.co.uk GBP 35.90 in stock for plates/standoffs/mass"
Airframe,Motors 2806.5 1300KV,"4S-6S, 7-inch props. 1300KV is the right pick for 4S on 7 inch",4,60,AliExpress,https://www.aliexpress.com/item/1005001792638729.html,2806.5 1300KV motor 7 inch,TO BUY,"DATASHEET - BrotherHobby Avenger: 41g, M3 19x19 bolt pattern. THRUST still unverified"
Airframe,Props 7040 or 7042,Buy several sets - you will break them,4 sets,14,AliExpress,https://www.aliexpress.com/w/wholesale-7040-propeller.html,7040 propeller 7 inch fpv,TO BUY,ASSUMED - spec not verified against a source
Airframe,SpeedyBee BLS 60A 4-in-1 ESC,30.5x30.5mm. MUST be the SpeedyBee 8-pin JST-SH pinout - J2 is wired to it,1,48,AliExpress,https://www.aliexpress.com/item/1005006628482848.html,SpeedyBee BLS 60A 30x30 4in1 ESC,TO BUY,"DATASHEET - manual: 60A x4 cont / 80A burst, DSHOT300/600, Scale=400, 45.6x44x7.8, 10.5g"
Radio,RadioMaster Pocket ELRS transmitter,"You have no TX. Cheapest sensible EdgeTX radio, 2.4GHz ELRS built in",1,68,AliExpress,https://www.aliexpress.com/item/1005009921527026.html,Radiomaster Pocket ELRS transmitter,TO BUY,ASSUMED - spec not verified against a source
Radio,ELRS 2.4GHz receiver,RadioMaster RP1/RP3 or EP1. Connects to pads P51-P54 (USART6),1,15,AliExpress,https://www.aliexpress.com/item/1005004720231554.html,RadioMaster RP1 RP3 ExpressLRS receiver,TO BUY,ASSUMED - spec not verified against a source
Navigation,M10 GNSS + QMC5883L compass (antenna INTEGRATED),"THE ANTENNA IS PART OF THE MODULE - nothing separate to buy. Drone M10 modules carry a 25x25mm ceramic patch antenna on the board plus the QMC5883L compass. Plugs into J3 (USART2 + I2C1) on the standard ArduPilot 6-pin order, so a stock cable mates. u-blox M10 tracks GPS/GLONASS/BDS/Galileo/SBAS/QZSS, 10Hz, with a backup battery for warm starts. Suggested: Matek M10Q-5883 or Foxeer M10Q-250 - both ArduPilot-documented. MOUNTING: the compass is on this module BY DESIGN because there is none on the FC - a magnetometer 15mm from a 60A 4-in-1 ESC is useless. Mount it on the top plate, as far from the ESC and the battery leads as the frame allows, and away from any current-carrying wire.",1,24,AliExpress,https://www.aliexpress.com/item/1005008292873617.html,Matek M10Q-5883 OR Foxeer M10Q-250 GPS compass,TO BUY,"[D] u-blox M10 + QMC5883L, 25x25mm integrated ceramic patch antenna, 10Hz - Matek/Foxeer product data; [M] J3 pin order from design.py nets"
Notify,5V PASSIVE piezo buzzer,"MUST BE PASSIVE, NOT ACTIVE. hwdef declares PA15 as TIM2_CH1 ... ALARM - a TIMER channel - so ArduPilot generates the tone patterns itself and the buzzer must be a passive piezo. An ACTIVE buzzer has its own oscillator and will just squeal on a level, losing every arming/failsafe pattern. Pads PZ1/PZ2. Lost-model alarm.",1,3,AliExpress,https://www.aliexpress.com/w/wholesale-5v-passive-piezo-buzzer.html,5V passive piezo buzzer drone,TO BUY,"[M] hwdef.dat PA15 TIM2_CH1 ALARM - a timer channel means tone generation, i.e. passive"
Notify,WS2812B LED strip,"MUST BE 5V WS2812B, NOT a 12V strip. To pads PL1-PL3 via the on-board 74LVC1G17 level shifter, which outputs 5V logic - a 12V strip (WS2815 or 12V-addressable) will not light and may load the rail. Budgeted at 300 mA, so keep it to ~10 LEDs at low brightness.",1,6,AliExpress,https://www.aliexpress.com/w/wholesale-ws2812b-strip.html,WS2812B LED strip 5V,TO BUY,[M] design.py: U17 74LVC1G17 outputs WS2812_OUT at 5V to PL1; [M] 300 mA in the 5V budget
Wiring,XT60 pigtails + silicone wire + heatshrink,"XT60 pigtails, silicone wire, heatshrink. NOTE: your Zeee 6500mAh packs are HARD CASE RC-CAR batteries with EC5 connectors, not XT60 - add an EC5-to-XT60 adapter or re-terminate them",1 kit,12,AliExpress,https://www.aliexpress.com/w/wholesale-xt60-pigtail-14awg.html,XT60 pigtail 14awg silicone wire,TO BUY,ASSUMED - spec not verified against a source
Tools,ST-Link V2 programmer,ESSENTIAL. The bootloader goes on over SWD before USB does anything,1,4,AliExpress,https://www.aliexpress.com/w/wholesale-st-link-v2.html,ST-Link V2 STM32 programmer,TO BUY,ASSUMED - spec not verified against a source
Tools,Pogo pins or 0.1mm enamelled wire,"To reach SWDIO/SWCLK/TP20/TP21 - they are pads, not a header",1,5,AliExpress,https://www.aliexpress.com/w/wholesale-pogo-pin-probe.html,pogo pin test probe P75,TO BUY,ASSUMED - spec not verified against a source
Tools,Smoke stopper (XT60),Current-limits the first power-up. Cheaper than a board,1,10,AliExpress,https://www.aliexpress.com/w/wholesale-smoke-stopper-xt60.html,smoke stopper xt60 fpv,TO BUY,ASSUMED - spec not verified against a source
Already have,4S LiPo packs,4x Zeeee 6500mAh + 2x 5400mAh,6,0,-,-,-,HAVE,"LISTING - 138x47x48mm, 615g, EC5, hardcase - read off the retailer page"
Already have,LiPo balance charger,-,1,0,-,-,-,HAVE,OWNED - you already have it
